name,team,year,age,height,weight,rating,completions,yds_per_comp,yds_lost_by_sack,ints,net_yds_per_att,games_played,longest_pass,adj_net_yds_per_att,td_percentage,completion_percentage,games_started,int_percentage,avg_yds_per_att,avg_value,comebacks,gwds,sacked,wins,tds,yds_per_att,yds,qbr,yds_per_game,att,perc_times_sk,c_cmpp,c_avg_cmpp,c_ya,c_aya,c_rate,c_pct,c_avg_att,c_att,c_numyrs,c_td,c_avg_tds,c_inter,c_avg_inter,c_yds,c_avg_yds,draft_Year,draft_No,draft_Round,draft_Pick,draft_Player,draft_Team,draft_College
Charley Johnson,STL,1962,24,73,200,65.9,150,16.3,NA,20,NA,11,86,NA,5.2,48.7,10,6.5,6,9,1,0,NA,3,16,7.9,2440,NA,221.8,308,NA,109,109,7.6,7.5,134.1,54.8,199,199,1,13,13,6,6,1511,1511,1960,10,10,1,109,Cardinals,New Mexico State
Charlie Batch,DET,1998,24,74,220,83.5,173,12.6,222,6,5.75,12,NA,5.61,3.6,57.1,12,2,7,9,2,2,37,5,11,7.2,2178,NA,181.5,303,10.9,579,144.75,7.6,7.3,133.2,58,249.5,998,4,53,13.25,31,7.75,7592,1898,1998,3,2,30,60,Lions,Eastern Michigan
Charlie Frye,CLE,2006,25,76,217,72.2,252,9.7,262,17,5.03,13,75,3.73,2.6,64.3,13,4.3,4.8,5,NA,NA,44,4,10,6.3,2454,NA,188.8,392,10.1,913,228.25,7.7,7.6,138.5,63.6,359,1436,4,64,16,32,8,11049,2762.25,2005,4,3,3,67,Browns,Akron
Chris Chandler,IND,1988,23,76,224,67.2,129,12.6,128,12,5.94,15,54,4.43,3.4,55.4,13,5.2,5.3,8,1,1,18,9,8,6.9,1619,NA,107.9,233,7.2,346,115.33,6.8,5.8,118.9,54.1,213,639,3,32,10.67,29,9.67,4360,1453.33,1988,2,3,21,76,Colts,Washington
Chris Miller,ATL,1988,23,74,212,67.3,184,11.6,207,12,5.14,13,68,4.28,3.1,52.4,13,3.4,5.2,5,1,3,24,5,11,6.1,2133,NA,164.1,351,6.4,560,140,6.6,5.7,116.4,55.2,253.75,1015,4,42,10.5,39,9.75,6681,1670.25,1987,3,1,13,13,Falcons,Oregon
Chris Simms,TAM,2005,25,76,220,81.4,191,10.7,205,7,5.35,11,78,5.01,3.2,61,10,2.2,6.1,6,3,3,29,6,10,6.5,2035,NA,185,313,8.5,535,133.75,7.8,7.5,138.3,58.7,227.75,911,4,58,14.5,31,7.75,7093,1773.25,2003,6,3,33,97,Buccaneers,Texas
Chris Weinke,CAR,2001,29,76,232,62,293,10,177,19,4.87,15,48,3.74,2,54.3,15,3.5,4.3,7,NA,NA,26,1,11,5.4,2931,NA,195.4,540,4.6,650,162.5,8.9,9,151.1,58.7,276.75,1107,4,79,19.75,32,8,9839,2459.75,2001,5,4,11,106,Panthers,Florida State
Christian Ponder,MIN,2011,23,74,229,70.1,158,11.7,164,13,5.26,11,72,4.25,4.5,54.3,10,4.5,5.3,5,0,1,30,2,13,6.4,1853,33.73,168.5,291,9.3,596,149,7.1,6.7,132.1,61.8,241.25,965,4,49,12.25,30,7.5,6872,1718,2011,4,1,12,12,Vikings,Florida State
Chuck Long,DET,1987,24,76,217,63.4,232,11.2,127,NA,5.71,12,53,4.14,2.6,55.8,12,4.8,4.6,7,0,1,17,3,11,6.2,2598,NA,216.5,416,3.9,734,146.8,8.6,7.9,148.4,64.4,228,1140,5,70,14,50,10,9838,1967.6,1986,2,1,12,12,Lions,Iowa
Colin Kaepernick,SFO,2012,25,77,233,98.3,136,13.3,112,3,7.27,13,57,7.55,4.6,62.4,7,1.4,NA,9,2,2,16,5,10,8.3,1814,76.79,139.5,218,6.8,740,185,7.9,8.4,142.5,58.2,317.75,1271,4,82,20.5,24,6,10098,2524.5,2011,6,2,4,36,49ers,Nevada
Colt McCoy,CLE,2010,23,74,209,74.5,135,11.7,132,9,5.89,8,47,4.73,2.7,60.8,8,4.1,5.8,5,NA,NA,23,2,6,7.1,1576,44.98,197,222,9.4,1157,289.25,8.1,8.2,155,70.3,411.25,1645,4,112,28,45,11.25,13253,3313.25,2010,4,3,21,85,Browns,Texas
