age,height,weight,wins,tds,c_numyrs,year,c_avg_cmpp,c_avg_att,c_numyrs,c_avg_tds,c_avg_inter,c_avg_yds
23,75,204,3,8,3,1974,160.67,318.67,3,12.33,18,1998.33
28,75,215,8,14,3,1973,60,101,3,6,6,732
28,76,212,4,6,3,1973,69,123.33,3,5.33,7,810.67
23,73,195,9,4,3,1973,109,203.67,3,8,10.67,1477
27,74,204,6,18,3,1972,130.67,230.67,3,12,10.33,1616
25,75,208,10,13,3,1972,125,244.33,3,12.33,11.33,1807.67
22,75,210,0,7,3,1972,201,376,3,18,19.67,2516.33
24,75,220,6,19,3,1971,183.33,330.67,3,17.67,16,2603
29,75,197,10,15,1,1971,128,192,1,7,7,1702
26,74,205,3,10,1,1971,81,156,1,2,11,1054
24,74,205,4,7,3,1971,127.33,224,3,9,10.67,1633
22,75,212,3,6,3,1971,134,253.67,3,10.33,13.33,1584.33
25,77,205,3,9,2,1970,59,110.5,2,2,6.5,750.5
28,75,200,5,7,3,1970,65,118.33,3,8,3.33,790
26,76,214,10,21,3,1969,118.33,213.67,3,12,10.33,1500.33
22,76,225,1,5,3,1969,61,126.33,3,6.67,6.67,939
26,72,201,2,18,3,1968,95.67,178.67,3,7,11.67,1136.67
23,72,190,1,12,3,1968,54.33,115.67,3,6.33,4.67,862.67
26,71,185,1,7,1,1968,108,208,1,15,10,1478
27,74,202,3,4,4,1968,29.25,75.5,4,1.75,6.75,403
23,73,215,6,19,3,1967,81.33,166,3,4.33,9.33,866.67
25,73,200,7,9,3,1967,53.33,110,3,6,5,791.33
29,74,215,3,8,3,1967,48.67,95.33,3,2.33,9.33,632
23,74,195,3,8,3,1967,39.67,89,3,3.67,11,490.33
26,72,195,3,7,3,1967,60,125.67,3,4.67,7,634.67
26,75,215,13,NA,3,1967,33,70.33,3,2.67,5.33,454.33
24,73,203,2,4,1,1966,79,218,1,1,14,674
22,74,200,3,18,3,1965,67.67,124.67,3,8,6.67,904.33
24,72,195,2,8,3,1965,34.67,79.33,3,5,3.33,603.67
24,73,200,3,16,1,1962,109,199,1,13,6,1511
24,75,210,3,15,3,1962,80.33,131.67,3,8.33,7.67,1043.33
22,73,214,1,15,3,1962,33,68,3,4,5,448.33
26,75,199,3,10,2,1962,40.5,71.5,2,4,4.5,498.5
25,75,204,5,10,3,1962,28.67,61,3,3.67,4,343.33
23,72,204,NA,1,3,1962,36.33,85,3,5,4.33,627
27,72,190,11,NA,1,1962,69,130,1,7,10,856
21,72,190,2,18,3,1961,62,105.67,3,6,6.67,700
22,76,215,1,11,3,1961,90.67,200.33,3,9,15.67,1346.67
27,71,202,10,NA,1,1961,28,59,1,2,6,371
25,73,198,4,6,1,1960,139,240,1,12,14,1633
24,73,206,5,2,2,1960,29,55,2,5,3,477.5
23,75,212,2,7,2,1959,45.5,83.5,2,3.5,6.5,733.5
23,73,205,9,11,1,1958,40,75,1,6,7,675
22,73,197,3,6,3,1952,31.67,67.33,3,2.67,6,366.67
27,70,170,NA,14,1,1948,14,29,1,0,2,215
