name,team,year,age,height,weight,rating,completions,yds_per_comp,yds_lost_by_sack,ints,net_yds_per_att,games_played,longest_pass,adj_net_yds_per_att,td_percentage,completion_percentage,games_started,int_percentage,avg_yds_per_att,avg_value,comebacks,gwds,sacked,wins,tds,yds_per_att,yds,qbr,yds_per_game,att,perc_times_sk,c_cmpp,c_avg_cmpp,c_ya,c_aya,c_rate,c_pct,c_avg_att,c_att,c_numyrs,c_td,c_avg_tds,c_inter,c_avg_inter,c_yds,c_avg_yds
Mike Boryla,PHI,1976,25,75,200,53.4,123,10.1,235,14,3.68,11,48,2.04,3.7,50,10,5.7,3.2,3,1,1,29,3,9,5.1,1247,-999,113.4,246,10.5,337,112.33,6.4,5.2,113.1,52.9,212.33,637,3,31,10.33,30,10,4062,1354
Bob Avellini,CHI,1976,23,74,208,49.4,118,13.4,225,15,4.59,14,63,2.85,3,43.5,14,5.5,3.9,7,-999,-999,24,7,8,5.8,1580,-999,112.9,271,8.1,246,82,8.1,5.9,126.3,59.1,138.67,416,3,15,5,27,9,3380,1126.67
Pat Haden,RAM,1976,23,71,182,94.8,60,14.9,86,4,6.86,10,65,6.69,7.6,57.1,7,3.8,8.3,5,2,2,13,5,8,8.5,896,-999,89.6,105,11,241,80.33,7,6,123.1,51.5,156,468,3,33,11,25,8.33,3288,1096
Lynn Dickey,GNB,1976,27,75,214,52.2,115,12.7,279,14,4.38,10,69,2.57,2.9,47.3,10,5.8,4,5,3,3,28,4,7,6,1465,-999,146.5,243,10.3,501,167,6.2,3.9,99.6,50.4,331.33,994,3,29,9.67,64,21.33,6208,2069.33
Bobby Scott,NOR,1976,27,73,201,64.5,103,10.3,162,6,4.22,11,60,3.33,2.1,54.2,8,3.2,4.6,4,1,1,24,2,4,5.6,1065,-999,96.8,190,11.2,236,78.67,6.8,5.6,113.7,47.4,166,498,3,30,10,26,8.67,3371,1123.67
Steve Bartkowski,ATL,1975,23,76,216,59.3,115,14.5,197,15,5.35,11,68,3.83,5.1,45.1,11,5.9,4.9,6,-999,-999,19,4,13,6.5,1662,-999,151.1,255,6.9,313,104.33,7.2,5.8,112.7,50.6,206.33,619,3,20,6.67,27,9,4434,1478
Joe Reed,DET,1975,27,73,195,59.3,86,13.7,119,10,5.18,10,65,3.86,4.7,45,8,5.2,4.8,6,0,1,14,4,9,6.2,1181,-999,118.1,191,6.8,182,91,5.7,3.8,96.7,48.8,186.5,373,2,13,6.5,21,10.5,2118,1059
James Harris,RAM,1974,27,76,210,85.1,106,14.6,101,6,6.87,11,50,6.63,5.6,53.5,9,3,7.5,10,2,-999,12,7,11,7.8,1544,-999,140.4,198,5.7,3,3,6.8,8.8,120.1,30,10,10,1,1,1,0,0,68,68
Bert Jones,BAL,1974,23,75,210,62.4,143,11.3,-999,12,4.19,11,57,2.95,3,53,8,4.4,4.6,8,-999,-999,36,1,8,6,1610,-999,146.4,270,11.8,233,77.67,7.6,7.1,129.2,52.2,148.67,446,3,28,9.33,17,5.67,3390,1130
Dan Fouts,SDG,1974,23,75,204,61.4,115,-999,99,13,6.56,11,75,4.85,3.4,48.5,11,5.5,5.5,7,2,2,12,3,8,7.3,1732,-999,157.5,237,4.8,482,160.67,6.3,4.5,104.6,50.4,318.67,956,3,37,12.33,54,18,5995,1998.33
Ken Stabler,OAK,1973,28,75,215,88.3,163,12.3,261,10,5.9,14,80,5.33,5.4,-999,11,3.8,7,10,1,-999,34,8,14,7.7,1997,-999,142.6,260,11.6,180,60,7.2,5.8,128,59.4,101,303,3,18,6,18,6,2196,732
Mike Livingston,KAN,1973,28,76,212,65.2,75,12.2,124,7,4.92,8,48,3.71,4.1,51.7,8,4.8,5,4,-999,-999,16,4,6,6.3,916,-999,114.5,145,9.9,207,69,6.6,4.9,114.1,55.9,123.33,370,3,16,5.33,21,7,2432,810.67
Joe Ferguson,BUF,1973,23,73,195,45.8,73,12.9,164,10,4.21,14,42,2.2,2.4,44.5,14,6.1,3.5,5,2,1,20,9,4,5.7,939,-999,67.1,164,10.9,327,109,7.3,5.7,116.9,53.5,203.67,611,3,24,8,32,10.67,4431,1477
Steve Spurrier,SFO,1972,27,74,204,75.9,147,13.5,114,16,6.6,13,81,5.33,6.7,54.6,9,5.9,6,9,1,0,14,6,18,7.4,1983,-999,152.5,269,4.9,392,130.67,7,6,123.7,56.6,230.67,692,3,36,12,31,10.33,4848,1616
Mike Phipps,CLE,1972,25,75,208,61,144,13.8,183,16,5.52,14,80,4.12,4.3,47.2,13,5.2,5,11,-999,-999,23,10,13,6.5,1994,-999,142.4,305,7,375,125,7.4,6.3,120.7,51.2,244.33,733,3,37,12.33,34,11.33,5423,1807.67
John Reaves,PHI,1972,22,75,210,58.4,108,14,322,12,4.53,11,77,3,3.1,48.2,7,5.4,4.9,5,-999,-999,38,0,7,6.7,1508,-999,137.1,224,14.5,603,201,6.7,5.3,115,53.5,376,1128,3,54,18,59,19.67,7549,2516.33
Jim Plunkett,NWE,1971,24,75,220,68.6,158,13.7,319,16,5.05,14,88,4.12,5.8,48.2,14,4.9,5.5,11,1,1,36,6,19,6.6,2158,-999,154.1,328,9.9,550,183.33,7.9,6.8,129.5,55.4,330.67,992,3,53,17.67,48,16,7809,2603
Roger Staubach,DAL,1971,29,75,197,-999,126,14.9,175,4,7.29,13,85,-999,7.1,59.7,10,-999,-999,14,1,2,23,10,15,-999,1882,-999,144.8,211,9.8,128,128,8.9,8,145.9,66.7,192,192,1,7,7,7,7,1702,1702
Bob Davis,NYJ,1971,26,74,205,57.3,49,12.7,92,8,3.94,13,44,2.76,8.3,40.5,7,6.6,3.8,5,0,1,14,3,10,5.2,624,-999,48,121,10.4,81,81,6.8,3.8,98.8,51.9,156,156,1,2,2,11,11,1054,1054
Scott Hunter,GNB,1971,24,74,205,46.1,75,16.1,81,17,6.49,13,77,2.9,4.3,46,10,10.4,3.6,5,1,2,11,4,7,7.4,1210,-999,93.1,163,6.3,382,127.33,7.3,6,121.8,56.8,224,672,3,27,9,32,10.67,4899,1633
Archie Manning,NOR,1971,22,75,212,60.1,86,13.5,-999,9,3.83,12,63,2.52,3.4,48.6,10,5.1,5,7,2,1,-999,3,6,6.6,1164,-999,97,177,18.4,402,134,6.2,4.7,108.2,52.8,253.67,761,3,31,10.33,40,13.33,4753,1584.33
Al Woodall,NYJ,1970,25,77,205,68.7,96,13.2,222,9,4.81,10,67,3.77,4.8,51.1,9,4.8,5.5,6,-999,-999,29,3,9,6.7,1265,-999,126.5,188,13.4,118,59,6.8,4.5,104.7,53.4,110.5,221,2,4,2,13,6.5,1501,750.5
Pete Liske,DEN,1970,28,75,200,55.3,112,12,228,11,4.18,11,74,2.85,2.9,47.1,9,4.6,4.1,5,-999,-999,28,5,7,5.6,1340,-999,121.8,238,10.5,195,65,6.7,6.8,127.7,54.9,118.33,355,3,24,8,10,3.33,2370,790
